title,company,location,salary_min,salary_max,description,date_collected
Data Analyst-Healthcare,Persistent Systems,India,,,"About Position: We are looking for an experienced Data Analyst having strong knowledge on MS SQL, Healthcare Data Modeling & Integration, Statistics. You will help us build scalable, efficient cloud infrastructure. You’ll implement monitoring for automated system health checks. You’ll build our CI pipeline, and train and guide the team. Role: Data Analyst-Healthcare Location: All Persistent Location Experience: 6 to 10 Years Job Type: Full-Time Employment What You'll Do: Healthcare Data Analysi…",2026-08-10
Climate Data Analyst,MSCI,"Pune, Maharashtra",,,"This job is with MSCI, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Your Team Responsibilities: The Climate Data and Content team is responsible for research and assessment of carbon footprint and business initiatives related to climate change for approximately 14,000 companies globally. Team's research is focused on climate-related metrics including carbon emissions, energy performanc…",2026-08-10
Senior Data Analyst II,Elsevier,India,,,"This job is with Elsevier, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Sr Data Analyst II (Content Flow Analytics) Would you like to be part of a team that delivers high-quality software to our customers? Are you a highly visible champion with a 'can do' attitude and enthusiasm that inspires others? About our Team:- Elsevier Health applies innovation, facilitates insights, and helps d…",2026-08-10
"Data Analyst II, RM - AMER",Criteo,"Gurgaon, Haryana",,,"This job is with Criteo, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. What You'll Do: Criteo is in search of a passionate, highly motivated Data Analyst to join our Analytics team. You will turn business requests into data problems and tackle them in a scalable and efficient way, working together with analyst teams across Criteo locations. Aside from solving business challenges, this p…",2026-08-10
Data Strategy Innovation Analyst,MSD,"Hyderabad, Telangana",,,"This job is with MSD, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Description Data Strategy Innovation Analyst The Opportunity Based in Hyderabad, join a global healthcare biopharma company and be part of a 130-year legacy of success backed by ethical integrity, forward momentum, and an inspiring mission to achieve new milestones in global healthcare. Be part of an organisation dr…",2026-08-10
Geospatial Physical Risk - AI Data Operations Analyst,MSCI,"Mumbai, Maharashtra",,,"This job is with MSCI, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Your Team Responsibilities: The Geospatial Data Team manages collection operations, data quality, and best practices for Climate and ESG geospatial data. The team drives data acquisition, vendor coordination, QA engineering, process automation, and research enablement-serving as the operational backbone for MSCI's geos…",2026-08-10
S&C GN - Data&AI - Resources - Analyst,Accenture,"Hyderabad, Telangana",,,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. TBD Qualifications: TBD",2026-08-10
"Senior Analyst, Data Governance (Corp Functions)",Invesco,"Hyderabad, Telangana",,,"This job is with Invesco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. As one of the world's leading independent global investment firms, Invesco is dedicated to rethinking possibilities for our clients. By delivering the combined power of our distinctive investment management capabilities, we provide a wide range of investment strategies and vehicles to our clients around the world. I…",2026-08-10
Senior Analyst- Brand Data Enablement,Novartis,India,,,"This job is with Novartis, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Summary We are seeking a Senior Analyst, CRM to support the integration and migration of CRM platforms, data, and field force operations as part of a large-scale acquisition and platform change programs. This role focuses on ensuring that CRM data, configurations, business logic, and field-facing functionality are …",2026-08-10
"Senior Analyst, Master Data Management (MDM)",Novartis,India,,,"This job is with Novartis, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Summary Location - Hyderabad LI Hybrid The Senior Analyst, Master Data Management (MDM) will provide MDM support to Novartis internal stakeholders (CPOs & Regional marketing and sales teams) on various data management capabilities. The Senior Analyst, MDM will support and facilitate data enabled decision making for…",2026-08-10
