title,company,location,salary_min,salary_max,description,role_category
Data Analyst,LRN Corporation,India,,,"Position: Data Analyst Location: Mumbai, India About LRN: LRN is the world’s leading dedicated ethics and compliance SaaS company, helping more than 30 million people every year navigate complex regional and global regulatory environments and build ethical, responsible cultures. With over 3,000 clients across the US, EMEA, APAC, and Latin America—including some of the world’s most respected and successful brands—we’re proud to be the long-term partner trusted to reduce organizational risk and d…",data analyst
Data Analyst,Tekwissen India,India,18000.0,1800000.0,"Overview : TekWissen is a global workforce management provider throughout India and many other countries in the world. The job opportunity described below is for one of our clients, whhas developed a core competence in creating and deploying cost-effective capabilities using an offshore-centric business model. Position: Data Analyst Location: Vadodara/Hyderabad Job Type: Full Time Work Type: Onsite Job Description: We are seeking an experienced Senior Data Quality Analyst tjoin our Enterprise D…",data analyst
Data Analyst,Weekday AI,India,,,"This role is for one of the Weekday's clients Salary range: Rs 500000 - Rs 2500000 (ie INR 5- 25 LPA) Min Experience: 5 years Location: Hyderabad, TS, India JobType: full-time We are seeking an experienced Data Analyst with 5–13 years of professional experience and strong expertise in Collibra Data Governance Center (DGC) to join our growing data and analytics team. The ideal candidate will play a critical role in enabling enterprise-wide data governance, improving data quality, and ensuring co…",data analyst
Data Analyst,Sia,"Mumbai, Maharashtra",,,"Job Description We are hiring a Power BI Developer to support our global internal teams (Finance, HR, Strategy, Corporate Functions) by delivering high-impact business intelligence dashboards, datasets, and analytics solutions. This role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. Key Responsibilities Design, maintain, and enhance internal Power BI dashboards and analytics for Corporate Finance and other functions…",data analyst
Data Analyst,Digital Twin,"Pune, Maharashtra",,,"Job Summary - Data Analyst We are looking to hire a data analyst to join our enterprise customer solutions team. As a Data Analyst, one will take responsibility for developing reports, and troubleshooting data issues. To do well in this role you need attention to detail, past experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Data Analyst Responsibilities: ● Commissioning and decommissioning of data sets. ● Processing confidential data and i…",data analyst
Data Analyst,SveltetechTechnologies Pvt Ltd,"Delhi, India",0.0,300000.0,"Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies tha…",data analyst
Data Analyst,Qrata,"Delhi, India",1000000.0,1200000.0,"Job Title: Data Analyst Job Brief: The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. About Us We began in 2015 with an entrepreneuria…",data analyst
Data Analyst,Amicus Therapeutics,"Bangalore, Karnataka",,,"Position Description Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and qua…",data analyst
Data Analyst,Amicus India,"Bangalore, Karnataka",,,"Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing, and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans t…",data analyst
Data Analyst,Qrata,"Delhi, India",800000.0,1300000.0,"Job Title Data Analyst Job Brief The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities ● Interpret data, analyze results…",data analyst
Data Analyst,Aliqan Services,"Chennai, Tamil Nadu",,,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",data analyst
Data Analyst,Aliqan Services,"Gurgaon, Haryana",,,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",data analyst
Data Analyst,InTouch CX,"Hyderabad, Telangana",,,"About the Job We are looking for a Data Analyst who is a self-starter with the ability to work in a fast-paced, performance driven environment. The incumbent will be responsible for the analysis and reporting of operational related data in an on-going effort to increase visibility for program performance. As Data Analyst, You Will… Collect, analyze, evaluate and report data in order to increase visibility into performance for all lines of business within 24-7 Intouch Complete projects and ad-ho…",data analyst
Data Analyst,Fatakpay,India,800000.0,1500000.0,"Job Title : Data Analyst-Fintech Job Description : We are seeking a highly motivated and detail-oriented Data Analyst with 2 to 4 years of work experience to join our team. The ideal candidate will have a strong analytical mindset, excellent problem-solving skills, and a passion for transforming data into actionable insights. In this role, you will play a pivotal role in gathering, analyzing, and interpreting data to support informed decision-making and drive business growth. Key Responsibiliti…",data analyst
Data analyst,Cars24,"Pune, Maharashtra",,,"Job Description: We are seeking a talented and motivated Data Analyst to join our team. The ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. Key Responsibilities: Data Collection and Cleaning: Collect and clean data from vari…",data analyst
DATA ANALYST,Connect Pro Srl,"Ajmer, Rajasthan",,,"Posizione - Data Analyst Lavora con noi Data Analyst Id Richiesta: 1002 Sede: Milano Data Analyst È responsabile della raccolta, analisi e interpretazione dei dati aziendali per guidare decisioni strategiche e migliorare le performance. Ha il compito di trasformare dati complessi in insight utili per il business, collaborando con diversi dipartimenti per ottimizzare le attività aziendali. Responsabilità Principali Raccolta e analisi dei dati da diverse fonti aziendali. Creazione di report e das…",data analyst
Data Analyst,Credeau,"Maharashtra, India",,,"Job Description — Beginner Data Analyst Job Title Junior Data Analyst / Data Analyst Intern Location Mumbai / Remote / Hybrid Profile 1: Data Scientist Role Work on ML models, analytics, NLP, and data-driven products across financial services and compliance domains. Responsibilities Build and evaluate ML models Analyze data using SQL & Python Perform data cleaning, preprocessing, and feature engineering Work on NLP/LLM use cases Collaborate with product & engineering teams Skills Python, SQL, s…",data analyst
Data Analyst,Malaysian Global Innovation and Creativity Centre,India,500000.0,1000000.0,"MaGIC Technology and Product team is looking for a data analyst to help expand and improve data on startups, investors, and founders in the ASEAN region. As part of the data team on our Startup Database product, you will assist in maintaining the accuracy of information on startups and investors, and continuously update our repository with latest publicly available data on the same. The job offers a high degree of autonomy and will also see you playing a leading role in the analysis of the data…",data analyst
Data Analyst,Navrang HR Solutions,"Surat, Gujarat",,,"Job Description: Key Responsibilities  Assist in extracting, cleaning, and analyzing datasets using SQL and Python.  Develop and maintain dashboards and reports using Power BI, Looker Studio, or other BI tools.  Support the team in data validation, quality checks, and troubleshooting.  Collaborate with senior data analysts and business teams to understand requirements and deliver insights.  Perform exploratory data analysis (EDA) to identify trends, patterns, and anomalies.  Automate recu…",data analyst
Data Analyst,In Touch,"Hyderabad, Telangana",,,"About the Job Join us in transforming the perception of customer service! We are seeking a dedicated Data Analyst to analyze and report on operational data, enhancing program performance visibility. This role is vital in contributing to various projects and performing ad-hoc analyses, providing timely insights that support strategic decision-making. If you are passionate about data and eager to make a significant impact, we invite you to apply! As Data Analyst, You Will… Collect and organize la…",data analyst
Data Analyst,Techwave,India,,,"Techwave , we are always in an exercise to foster a culture of growth, and inclusivity. We ensure whoever is associated with the brand is being challenged at every step and is provided with all the necessary opportunities to excel in life. People are at the core of everything we do. Who are we? Techwave is a leading global IT and engineering services and solutions company revolutionizing digital transformations. We believe in enabling clients to maximize the potential and achieve a greater mark…",data analyst
Data Analyst,Namaste Credit,"Bangalore, Karnataka",500000.0,1000000.0,"About the Role The following Job Specification is intended to reflect the nature, range and context of the work. It identifies the main requirements of the job but is not an exhaustive list of duties. The Data Analyst role is a vital role as to be a sole point of contact responsible for closely working with various teams internally and closely working with the CTO. This role typically requires the resource to analyse the vast number of datasets and provide a meaningful impact and the result of …",data analyst
Data Analyst,Ness Digital Engineering,India,,,"Description Job Description – Data Analyst Role Purpose The Data Analyst will support assessment activities through data discovery, profiling, classification, documentation, and stakeholder engagement. The role serves as the bridge between business, architecture, governance, and technical teams. Job Summary The Data Analyst is responsible for identifying where sensitive data exists, understanding how it is used, documenting findings, supporting classification exercises, and validating recommend…",data analyst
Data Analyst,NAVVYASA CONSULTING PRIVATE LIMITED,India,,,"About the Role We are looking for a highly skilled Data Analyst or Data Scientist with strong expertise in Python and SQL to join our client’s team. The primary responsibility will be to automate data-driven workflows and processes based on detailed business steps provided by the Product and Business teams. The ideal candidate will bridge the gap between analytics, process understanding, and automation execution. Key Responsibilities ● Collaborate with the Business and Product teams to understa…",data analyst
Data Analyst,Whisk Software Private Limited,"Pune, Maharashtra",,,"Expert knowledge of one or more reporting platforms (Tableau, Business Objects, etc.) Expert in constructing and optimizing complex SQL queries across large volumes of data Expert knowledge of one or more data quality management platforms (Informatica IDQ / CDQ, Ataccama, Information Builders) and using that platform to conduct data discovery and analysis Strong analytical skills and an understanding of the appropriate statistical techniques to use under different circumstances Experience desig…",data analyst
Data Analyst,AVI-SPL India,"Mumbai, Maharashtra",,,"The Data Analyst supports the Global Multimedia Services Group (Video Production, Event Production, Technical Operations, and Executive Support) within the Operations function. This role is responsible for downloading weekly operational data, validating data integrity, cleaning and standardising datasets, and reconciling information across multiple internal systems. The Data Analyst partners with local and global stakeholders to resolve data issues and ensure that accurate, complete, and timely…",data analyst
Data Analyst,InTouch CX,"Hyderabad, Telangana",,,"About the Job We are revolutionizing the way people perceive customer service, and we require your assistance! We are currently seeking a Data Analyst who will be responsible for analyzing and reporting on operational data in an effort to enhance program performance visibility. This role will also contribute to various projects and perform ad-hoc analyses to provide timely information and support for strategic decision-making. As Data Analyst, You Will… Continuously monitor and evaluate data to…",data analyst
