,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
1825,HLL Lifecare,3.7,(586),Healthcare | Thiruvananthapuram +115 other locations,1.7k,14
1826,Bharat Biotech International,3.1,(586),Biotechnology | Hyderabad +29 other locations,2.2k,12
1827,Inspira Enterprise India Limited,3.6,(588),IT Services & Consulting | Mumbai +36 other locations,3.5k,7
1828,Pathkind Diagnostics Private Limited,4.0,(586),Healthcare | New Delhi +97 other locations,1.8k,7
1829,Excitel Broadband,3.6,(585),Telecom | New Delhi +43 other locations,1.9k,4
1830,Coal India,4.0,(584),Metals & Mining | Kolkata +62 other locations,1.9k,--
1831,Vadilal Industries,4.1,(584),FMCG | Ahmedabad +84 other locations,1.8k,21
1832,Maxicus,4.0,(584),BPO | Vadodara +15 other locations,697,8
1833,Ofbusiness,3.0,(584),Internet | Gurugram +41 other locations,2.5k,70
1834,IDP Education Limited,3.6,(584),Education & Training | Chennai +50 other locations,2.5k,15
1835,Avaada Group,4.3,(582),Power | Noida +66 other locations,2.2k,202
1836,Anmol Industries,3.9,(582),FMCG | Kolkata +87 other locations,1.7k,--
1837,Kiya.ai,3.8,(582),IT Services & Consulting | Mumbai +18 other locations,4.2k,253
1838,Consulting Engineers Group,4.1,(582),Engineering & Construction | Jaipur +70 other locations,1.7k,4
1839,Sterling Oil Exploration & Energy Production,3.5,(581),Oil & Gas | Lagos +22 other locations,1.3k,--
1840,Affinity Express,2.8,(581),Marketing & Advertising | Pune +12 other locations,2.5k,6
1841,Eli Lilly and Company,3.4,(581),Pharma | Bengaluru +18 other locations,4.6k,63
1842,Varindera Constructions,4.4,(581),Engineering & Construction | New Delhi +26 other locations,1.3k,8
1843,Ascent HR Technologies Private Limited,3.7,(580),Software Product | Bengaluru +15 other locations,1.7k,14
1844,Efs Facilities Services,3.7,(580),Facility Management Services | New Delhi +59 other locations,1.4k,11
1845,Jubilant Generics,4.0,(579),Pharma | Roorkee +24 other locations,2.4k,--
1846,EdgeVerve Systems,3.3,(579),Software Product | Bengaluru +15 other locations,4.1k,59
1847,BEML,3.8,(579),Industrial Machinery | Bengaluru +36 other locations,1.7k,--
1848,APL Apollo Tubes,4.0,(579),Iron & Steel | Raipur +47 other locations,1.9k,6
1849,Pamac Finserve,3.2,(578),BPO | Mumbai +59 other locations,1.7k,2
1850,Quest Retail Private Limited,4.1,(578),Retail | Gurugram +64 other locations,934,1
1851,Infinity Learn,4.2,(578),EdTech | Hyderabad +18 other locations,1.9k,70
1852,Hilton,4.1,(578),Hospitality | Bengaluru +40 other locations,1.5k,296
1853,Micromax Informatics,3.9,(577),Consumer Electronics & Appliances | New Delhi +119 other locations,1.3k,--
1854,Capital Numbers Infotech,4.2,(577),IT Services & Consulting | Kolkata +9 other locations,1.2k,17
1855,Hettich,3.7,(577),Furniture & Furnishing | Mumbai +45 other locations,2.4k,13
1856,Accion Labs,3.5,(576),IT Services & Consulting | Bengaluru +13 other locations,4.7k,45
1857,PTC,4.2,(576),Software Product | Pune +40 other locations,3.9k,128
1858,Cvent,3.2,(575),Software Product | Gurugram +9 other locations,4.6k,123
1859,Jindal Poly Films,3.6,(574),Packaging | Nashik +19 other locations,2.4k,2
1860,Orra Fine Jewellery,3.5,(574),Jewellery | Mumbai +51 other locations,1.7k,31
1861,Jindal Poly Films,3.6,(574),Packaging | Nashik +19 other locations,2.4k,2
1862,NLC India Limited,4.4,(574),Metals & Mining | Neyveli +26 other locations,1.2k,--
1863,Lulu International Shopping Mall,3.7,(574),Retail | Lucknow +41 other locations,2.4k,--
1864,GAMMON INDIA,3.7,(574),Engineering & Construction | Mumbai +71 other locations,1.1k,--
1865,Gandhi Automations,4.0,(573),Industrial Machinery | Mumbai +24 other locations,1.3k,31
1866,The Saraswat Co-operative Bank,3.2,(573),Banking | Mumbai +34 other locations,3k,7
1867,Dr. Reddy's Foundation,3.7,(573),Non-Profit | Hyderabad +88 other locations,1.7k,21
1868,Apitoria Pharma,4.2,(573),Pharma | Hyderabad +12 other locations,765,11
1869,Axiscades,3.1,(572),IT Services & Consulting | Bengaluru +12 other locations,3.7k,12
1870,Colt Technology Services,4.2,(572),Hardware & Networking | Gurugram +13 other locations,3.2k,7
1871,Maharashtra State Electricity Distribution Company,4.2,(572),Power | Pune +91 other locations,1.2k,--
1872,Army Public School,4.0,(572),Education & Training | New Delhi +96 other locations,1.2k,--
1873,PureSoftware,2.9,(572),Software Product | Noida +11 other locations,3.7k,36
1874,HashedIn by Deloitte,4.0,(571),IT Services & Consulting | Bengaluru +16 other locations,5.5k,4
1875,Perficient,3.7,(571),IT Services & Consulting | Chennai +11 other locations,4.4k,22
1876,AVEVA,4.0,(571),Software Product | Hyderabad +14 other locations,1.8k,44
1877,PayU Payments,3.3,(570),FinTech | Gurugram +22 other locations,4.2k,125
1878,Vyapar,3.5,(572),Software Product | Bengaluru +39 other locations,2.2k,132
1879,AVIOM,4.0,(570),NBFC | New Delhi +188 other locations,1.2k,1
1880,Crystal Crop Protection,3.9,(570),Agro Chemicals | New Delhi +89 other locations,1.8k,--
1881,WayCool Foods and Products,3.4,(569),FMCG | Chennai +42 other locations,2.9k,--
1882,HBL Power Systems,4.0,(569),Electrical Equipment | Hyderabad +49 other locations,2.1k,13
1883,Fenesta Building Systems,4.0,(568),Building Material | Gurugram +74 other locations,2k,19
1884,Damco Solutions,3.5,(568),IT Services & Consulting | Noida +22 other locations,2.2k,30
1885,Jaipur Rugs,4.3,(568),Fashion & Textile | Jaipur +20 other locations,838,14
1886,TSYS|Total System Services,4.1,(568),FinTech | Pune +10 other locations,4.2k,22
1887,Aurionpro Solutions,3.5,(567),Software Product | Mumbai +49 other locations,3.5k,15
1888,Amway India Enterprises,4.1,(567),Fitness & Wellness | Gurugram +80 other locations,2.1k,4
1889,J K Fenner,3.9,(566),Engineering & Construction | Chennai +56 other locations,2k,6
1890,Applied Materials,3.7,(565),Semiconductors | Bengaluru +11 other locations,4.7k,182
1891,SoftAge Information Technology,3.6,(565),IT Services & Consulting | Gurugram +126 other locations,886,6
1892,Pinnacle Infotech,3.4,(565),IT Services & Consulting | Durgapur +19 other locations,2.8k,9
1893,Country Delight,3.8,(565),Food Processing | Gurugram +35 other locations,2.4k,4
1894,McCain Foods,4.1,(565),FMCG | Mahesana +74 other locations,1.6k,2
1895,FNP,3.7,(564),Retail | New Delhi +19 other locations,2.3k,15
1896,Alcon,3.8,(565),Medical Equipment | Bengaluru +38 other locations,2.9k,46
1897,Maxop Engineering Co.,4.1,(564),Auto Components | Gurugram +15 other locations,2.3k,9
1898,Transport Corporation Of India,3.8,(564),Logistics | Gurugram +81 other locations,1.8k,--
1899,Dishman Carbogen Amcis,3.5,(564),Pharma | Ahmedabad +15 other locations,2.1k,45
1900,Expleo Group,3.4,(564),IT Services & Consulting | Pune +9 other locations,5.5k,40
1901,Prochant,3.9,(563),Analytics & KPO | Chennai +9 other locations,2.3k,44
1902,Baker Hughes,4.1,(563),Oil & Gas | Bengaluru +38 other locations,4.1k,74
1903,Allianz Services,4.2,(563),Insurance | Thiruvananthapuram +13 other locations,2.4k,15
1904,Iron Mountain Inc,3.8,(563),IT Services & Consulting | Bengaluru +49 other locations,3k,91
1905,Levi Strauss & Co.,4.2,(562),Fashion & Textile | Bengaluru +80 other locations,2k,20
1906,Kauvery Hospital,4.0,(561),Healthcare | Chennai +21 other locations,2.1k,2
1907,Empower,4.0,(561),Financial Services | Bengaluru +12 other locations,4k,98
1908,C5i,4.2,(560),Analytics & KPO | Bengaluru +16 other locations,2.8k,29
1909,United Spirits,4.1,(559),Beverage | Bengaluru +95 other locations,1.5k,2
1910,Toyota Industries Engine India,4.3,(559),Auto Components | Bengaluru +15 other locations,1.5k,--
1911,Wow Momo Foods,3.6,(558),Hospitality | Kolkata +53 other locations,1.8k,3
1912,Voyants Solutions,3.7,(558),Engineering & Construction | Gurugram +94 other locations,1.7k,224
1913,Paras Dairy,3.4,(558),Food Processing | New Delhi +59 other locations,1.6k,3
1914,BAXY,4.0,(573),Auto Components | Bhiwadi +38 other locations,2k,--
1915,Lear Corporation,4.0,(557),Auto Components | Pune +19 other locations,2.9k,7
1916,Toothsi,2.7,(557),Internet | Mumbai +19 other locations,2.2k,--
1917,Andritz Hydro Location India,3.8,(557),Chennai +28 other locations,2.7k,22
1918,HUDL,3.2,(558),Software Product | Mumbai +17 other locations,1.9k,--
1919,DB Schenker,4.3,(556),Logistics | Gurugram +40 other locations,2.2k,--
1920,Paramount Health Services Tpa,3.8,(556),Insurance | Mumbai +40 other locations,2.3k,21
1921,ArcelorMittal,4.1,(556),Iron & Steel | Surat +49 other locations,2.9k,8
1922,DB Schenker,4.3,(556),Logistics | Gurugram +40 other locations,2.2k,--
1923,UTL Solar,3.7,(556),Electronics Manufacturing | New Delhi +78 other locations,1.7k,76
1924,Solara Active Pharma Sciences,3.7,(556),Pharma | Visakhapatnam +19 other locations,2.8k,--
1925,Congruex Asia Pacific,3.7,(555),Engineering & Construction | Sahibzada Ajit Singh Nagar +24 other locations,2.3k,3
1926,QSpiders,3.7,(555),Education & Training | Bengaluru +26 other locations,1.8k,22
1927,Genesys International Corporation,3.4,(555),IT Services & Consulting | Mumbai +15 other locations,2.5k,2
1928,Courtyard by Marriott,4.2,(554),Hospitality | Mumbai +41 other locations,1.1k,--
1929,Renault,4.1,(554),Automobile | Chennai +149 other locations,1.8k,--
1930,Matrimonialsindia,4.9,(555),Internet | New Delhi,117,2
1931,BUSINESSNEXT,3.5,(554),Software Product | Noida +9 other locations,3.8k,19
1932,"DATAMARK, Inc.",3.5,(553),BPO | Chennai +13 other locations,1.7k,40
1933,Z X Learning,4.3,(553),EdTech | Lucknow +89 other locations,358,--
1934,MITS Global Consulting,4.5,(553),Recruitment | Mumbai +12 other locations,887,--
1935,Mahendra NextWealth IT,3.4,(552),IT Services & Consulting | Salem +26 other locations,1.8k,7
1936,The Times of India,3.6,(551),Media & Entertainment | New Delhi +53 other locations,2.8k,--
1937,Practo,3.0,(551),Internet | Bengaluru +24 other locations,3k,38
1938,Sandoz,4.0,(551),Pharma | Hyderabad +20 other locations,2.4k,18
1939,Artemis Hospitals,4.1,(551),Healthcare | Gurugram +20 other locations,1.5k,19
1940,Bajaj Consumer Care,3.8,(551),FMCG | Mumbai +111 other locations,1.4k,4
1941,Prestige Group,4.3,(551),Real Estate | Bengaluru +30 other locations,2.5k,15
1942,Laxmi Organic Industries,3.9,(551),Chemicals | Mahad +18 other locations,2k,5
1943,Unimoni,3.9,(550),FinTech | Chennai +134 other locations,2k,6
1944,Ambit Finvest,4.0,(551),NBFC | Mumbai +112 other locations,1.8k,--
1945,FiveS Digital,3.4,(550),BPO | Jamshedpur +27 other locations,1.4k,13
1946,Navin Fluorine International,3.8,(549),Chemicals | Surat +17 other locations,2.6k,2
1947,Harman Finochem,3.6,(550),Pharma | Chhatrapati Sambhajinagar +15 other locations,2.8k,--
1948,Marelli,3.5,(548),Auto Components | Gurugram +18 other locations,2.8k,--
1949,Innominds Software,3.2,(548),IT Services & Consulting | Hyderabad +7 other locations,4.7k,36
1950,General Motors,4.0,(548),Automobile | Pune +36 other locations,2.1k,5
1951,Western Refrigeration,3.8,(547),Industrial Machinery | Vapi +40 other locations,2.3k,10
1952,Inox Wind,3.8,(547),Power | Noida +41 other locations,1.7k,--
1953,Kirloskar Pneumatic,4.0,(547),Industrial Machinery | Pune +21 other locations,2.6k,2
1954,Carlsberg,4.0,(547),Beverage | Gurugram +66 other locations,1.8k,12
1955,Datamatics Business Solutions,3.4,(547),Management Consulting | Mumbai +13 other locations,2.5k,14
1956,Bharat Fritz Werner,3.9,(547),Industrial Machinery | Bengaluru +18 other locations,2.3k,10
1957,SAEL Industries Limited,4.0,(546),Power | New Delhi +62 other locations,1.9k,41
1958,Titan Engineering & Automation,3.8,(546),Engineering & Construction | Hosur +18 other locations,2.7k,4
1959,MR.DIY,3.4,(545),Retail | Mumbai +85 other locations,1.4k,5
1960,Enco Engineers Combine,3.7,(544),Auto Components | Gurugram +17 other locations,1.5k,--
1961,Virtual Employee,3.3,(544),Recruitment | Noida +22 other locations,3.1k,1
1962,Propertypistol Realty,3.7,(544),Internet | Mumbai +25 other locations,2k,30
1963,Kellogg Brown and Root,4.1,(544),Engineering & Construction | Chennai +36 other locations,2.2k,90
1964,Offshore Infrastructures,4.2,(543),Engineering & Construction | Mumbai +51 other locations,1.7k,--
1965,L & W Constructions,3.9,(543),Engineering & Construction | Bengaluru +19 other locations,1.8k,3
1966,LendingKart,3.6,(543),NBFC | Ahmedabad +46 other locations,2.6k,9
1967,Gayatri Projects,3.9,(542),Engineering & Construction | Hyderabad +71 other locations,1.8k,12
1968,Craftsman Automation,3.8,(542),Auto Components | Coimbatore +25 other locations,2.4k,--
1969,GSPANN Technologies,4.1,(542),IT Services & Consulting | Hyderabad +9 other locations,3.5k,71
1970,WPP Media,3.6,(542),Marketing & Advertising | Gurugram +27 other locations,3.9k,3
1971,Utility Powertech,3.8,(541),Power | New Delhi +92 other locations,1.7k,--
1972,BLK Super Speciality Hospital,3.9,(543),Healthcare | New Delhi +16 other locations,1.5k,--
1973,Yokohama,3.7,(541),Auto Components | Bahadurgarh +44 other locations,2.1k,--
1974,Anudip Foundation,3.7,(543),Non-Profit | Kolkata +62 other locations,1.3k,20
1975,Roop Polymers,3.9,(540),Auto Components | Gurugram +25 other locations,1.8k,--
1976,Dhani Healthcare,3.5,(540),FinTech | Gurugram +81 other locations,2.3k,--
1977,Maini Precision Products,3.4,(540),Auto Components | Bengaluru +11 other locations,2.8k,6
1978,RAK Ceramics,3.8,(540),Building Material | Mumbai +61 other locations,1.7k,--
1979,Eicher Motors,4.1,(540),Automobile | Indore +96 other locations,1.6k,--
1980,Bharti Infratel,4.7,(539),Telecom | Gurugram +69 other locations,1.1k,--
1981,Hi Tech Gears,4.0,(539),Auto Components | Bhiwadi +29 other locations,2.1k,--
1982,Sulzer,3.9,(539),Industrial Machinery | Pune +25 other locations,2.7k,6
1983,AM Infoweb,3.8,(538),BPO | Pune +8 other locations,1.4k,27
1984,RadiSys,3.8,(537),Telecom | Bengaluru +11 other locations,2.5k,--
1985,Unified Mentor,4.2,(537),IT Services & Consulting | Bengaluru +44 other locations,381,--
1986,RuralShores,3.6,(537),BPO | Bengaluru +47 other locations,1.1k,6
1987,Fena,4.0,(537),FMCG | New Delhi +84 other locations,1.5k,16
1988,Macawber Beekay,4.2,(537),Industrial Machinery | Noida +56 other locations,1.7k,13
1989,Tracxn,2.8,(536),Internet | Bengaluru +11 other locations,2.3k,101
1990,Vestige,4.3,(536),Fitness & Wellness | New Delhi +110 other locations,1.4k,--
1991,Maxgen Technologies,4.5,(536),IT Services & Consulting | Pune +8 other locations,1.1k,--
1992,Cpf India,4.1,(536),Food Processing | Bengaluru +59 other locations,1.6k,--
1993,Sanmina Sci,4.1,(536),Electronics Manufacturing | Chennai +16 other locations,2.7k,23
1994,Allianz Partners,3.7,(535),Insurance | Gurugram +19 other locations,2.6k,--
1995,RMC Readymix,3.6,(535),Building Material | Mumbai +67 other locations,1.4k,5
1996,Insuremile,4.7,(535),Internet | Bengaluru +16 other locations,75,2
1997,Telenor,4.1,(534),Telecom | Gurugram +115 other locations,580,--
1998,NMDC Limited,4.1,(534),Metals & Mining | Jagdalpur +41 other locations,2k,--
1999,CTS Consulting & Technical Support,3.7,(534),Engineering & Construction | Chennai +31 other locations,6.8k,--
2000,Hitachi Cash Management Services,3.3,(534),Other | Mumbai +98 other locations,1.2k,8
2001,S P Singla Constructions,3.5,(534),Engineering & Construction | Patna +63 other locations,1.6k,--
2002,Haldiram Snacks,3.9,(534),Food Processing | Noida +66 other locations,1.7k,10
2003,Kidzee,3.9,(533),EdTech | Kolkata +119 other locations,1.2k,1
2004,Infiniti Research,3.4,(533),Analytics & KPO | Bengaluru +8 other locations,1.7k,14
2005,Scaler Academy,3.5,(533),EdTech | Bengaluru +8 other locations,2.5k,7
2006,Sterling,4.0,(532),Healthcare | Mumbai +64 other locations,1k,--
2007,Zycus Infotech,2.7,(532),Software Product | Mumbai +9 other locations,3.2k,64
2008,Micron Electricals,4.1,(532),Engineering & Construction | Bengaluru +18 other locations,2.3k,2
2009,Castrol,4.3,(531),Petrochemicals | Mumbai +123 other locations,1.9k,67
2010,Vimta Labs,3.5,(531),Clinical Research | Hyderabad +29 other locations,2.1k,8
2011,Regalix,2.7,(531),Marketing & Advertising | Hyderabad +7 other locations,2.8k,58
2012,Dusters Total Solutions Services,3.9,(530),Facility Management Services | Bengaluru +62 other locations,1.6k,9
2013,CompuCom,3.8,(530),IT Services & Consulting | Pune +7 other locations,3.1k,10
2014,NAV Backoffice,3.8,(531),Accounting & Auditing | Jaipur +10 other locations,2.4k,6
2015,Welspun Enterprises,4.2,(530),Engineering & Construction | Mumbai +48 other locations,1.8k,--
2016,My Home Constructions,4.3,(529),Real Estate | Hyderabad +19 other locations,2.2k,2
2017,Wellness Forever Medicare,3.9,(529),Retail | Mumbai +41 other locations,1.7k,6
2018,Canon,3.9,(529),Consumer Electronics & Appliances | Gurugram +66 other locations,2k,2
2019,Zolo,3.3,(529),Internet | Bengaluru +25 other locations,2.1k,5
2020,DM Immigration Consultant,1.0,(529),Other | Bengaluru +3 other locations,34,--
2021,5paisa Capital Ltd.,4.1,(528),Financial Services | Mumbai +9 other locations,1.6k,5
2022,DFM Foods,4.0,(528),FMCG | New Delhi +79 other locations,1.6k,7
2023,FMC Corporation,3.9,(528),Agro Chemicals | Bharuch +116 other locations,1.7k,--
2024,Reliance Life Sciences,3.6,(528),Clinical Research | Mumbai +34 other locations,2.6k,6
2025,Stock Holding Corporation of India,3.5,(528),Financial Services | Mumbai +101 other locations,1.7k,--
2026,Ralson Tyres Limited,3.6,(528),Auto Components | Ludhiana +53 other locations,2.1k,14
2027,ExxonMobil,3.8,(527),Oil & Gas | Bengaluru +38 other locations,3.8k,364
2028,Systra Consulting,3.9,(527),Engineering & Construction | New Delhi +40 other locations,1.6k,129
2029,BOBCARD Ltd.,4.1,(527),NBFC | Mumbai +107 other locations,1.4k,25
2030,Emaar India Limited,3.6,(527),Real Estate | Gurugram +18 other locations,2.4k,6
2031,Magma General Insurance Limited,3.7,(527),Insurance | Mumbai +87 other locations,2.3k,8
2032,Premier Energies,4.0,(527),Electronics Manufacturing | Hyderabad +25 other locations,1.9k,2
2033,Brigade Group,4.1,(526),Real Estate | Bengaluru +11 other locations,2.6k,37
2034,Mecon,3.8,(526),Metals & Mining | Ranchi +49 other locations,1.7k,--
2035,Capital Business Systems,3.6,(526),IT Services & Consulting | New Delhi +109 other locations,1.6k,13
2036,Chaayos,3.4,(525),Retail | New Delhi +22 other locations,1.6k,14
2037,Satyam Auto Components,3.9,(524),Auto Components | Gurugram +27 other locations,2.2k,1
2038,V.S.T Tillers Tractors,3.5,(524),Industrial Machinery | Bengaluru +56 other locations,1.8k,4
2039,N.C.L. Industries,3.7,(525),Building Material | Hyderabad +70 other locations,1.6k,4
2040,CDK Global,3.8,(524),IT Services & Consulting | Hyderabad +7 other locations,3.4k,37
2041,Uttar Pradesh Power Corporation,4.0,(523),Power | Lucknow +89 other locations,1.3k,--
2042,Legrand,3.7,(524),Electrical Equipment | Mumbai +58 other locations,2.2k,--
2043,Bharat Gears,4.0,(523),Auto Components | Faridabad +24 other locations,2k,--
2044,Innovatiview India Ltd,4.3,(522),Emerging Technologies | Noida +15 other locations,1.3k,17
2045,GUS Education India,3.2,(521),Education & Training | Hyderabad +8 other locations,2.1k,12
2046,Karvy Data Management Services,3.8,(521),Analytics & KPO | Hyderabad +81 other locations,2.2k,--
2047,Wockhardt Hospital,4.0,(521),Healthcare | Mumbai +27 other locations,1.6k,30
2048,House Of Anita Dongre,4.2,(521),Fashion & Textile | Mumbai +48 other locations,1.5k,3
2049,Tradeshala,4.5,(521),Education & Training | Bengaluru +8 other locations,35,--
2050,Ge India Industrial,4.2,(520),Industrial Machinery | Pune +23 other locations,2k,--
2051,Vidal Health Insurance,3.7,(520),Insurance | Bengaluru +37 other locations,1.9k,--
2052,Indecomm Global Services,3.9,(520),IT Services & Consulting | Bengaluru +13 other locations,2.6k,11
2053,MUTHOOT HOMEFIN (I) LTD.,3.8,(520),NBFC | Mumbai +107 other locations,1.3k,--
2054,Hafele,3.9,(519),Furniture & Furnishing | Mumbai +44 other locations,2.1k,21
2055,ACTE,4.7,(519),Education & Training | Chennai +10 other locations,111,1
2056,Foray Software,3.4,(519),IT Services & Consulting | Hyderabad +17 other locations,3.6k,39
2057,Metro Group of Hospitals,3.8,(519),Healthcare | New Delhi +32 other locations,1.3k,57
2058,Aptus Value Housing Finance India,4.1,(518),NBFC | Chennai +153 other locations,1.3k,7
2059,Ziqitza Health Care,3.9,(518),Healthcare | Mumbai +60 other locations,1.2k,--
2060,Suprajit Engineering,3.9,(518),Auto Components | Bengaluru +38 other locations,2.4k,2
2061,EC-Council,4.1,(518),EdTech | Hyderabad +18 other locations,2.5k,19
2062,Quikr,3.5,(517),Internet | Bengaluru +24 other locations,2.1k,9
2063,Pierian Services,3.3,(518),Management Consulting | Bengaluru +19 other locations,2.7k,21
2064,Chemplast Sanmar,3.4,(517),Chemicals | Salem +20 other locations,2.4k,43
2065,JK Tech,3.7,(517),IT Services & Consulting | Bengaluru +20 other locations,3.2k,5
2066,Coats,3.6,(517),Fashion & Textile | Bengaluru +56 other locations,1.8k,33
2067,Consero Global Solutions,3.0,(517),Financial Services | Bengaluru +10 other locations,2.9k,--
2068,DiGibizz,,,Mumbai +162 other locations,1,--
2069,Hitech Projects Limited,4.6,(516),Engineering & Construction | Ahmedabad +8 other locations,653,--
2070,Vishwa Samudra Engineering,3.6,(545),Engineering & Construction | Hyderabad +42 other locations,1.5k,1
2071,ATS Infrastructure,4.1,(516),Real Estate | Noida +12 other locations,1.8k,--
2072,Metriqe Solutions,3.9,(515),BPO | Chennai +5 other locations,1.3k,3
2073,OMICS International,2.5,(514),Printing & Publishing | Hyderabad +6 other locations,1.7k,--
2074,PEGATRON,3.9,(515),Electronics Manufacturing | Chennai +13 other locations,2.1k,--
2075,AML RightSource,2.6,(563),IT Services & Consulting | New Delhi +9 other locations,3.2k,47
2076,RSB Transmissions,3.9,(514),Auto Components | Pune +23 other locations,2.1k,--
2077,Mobikwik,3.5,(514),FinTech | Gurugram +49 other locations,2.5k,24
2078,Amar Ujala,3.9,(514),Printing & Publishing | Noida +54 other locations,1.7k,--
2079,F1 Info Solutions and Services,3.7,(514),IT Services & Consulting | Noida +47 other locations,1.2k,--
2080,AML RightSource,2.6,(563),IT Services & Consulting | New Delhi +9 other locations,3.2k,47
2081,IKF Finance,3.9,(514),NBFC | Hyderabad +128 other locations,1.3k,7
2082,Indian Bank,3.4,(513),Banking | Chennai +118 other locations,1.9k,--
2083,Pitti Engineering,3.8,(513),Industrial Machinery | Hyderabad +13 other locations,2k,3
2084,Lakme,4.1,(513),Beauty & Personal Care | Mumbai +78 other locations,1.6k,--
2085,Metalman Auto,3.9,(513),Auto Components | Chhatrapati Sambhajinagar +23 other locations,1.9k,8
2086,Vivanta by Taj,4.2,(512),Hospitality | New Delhi +48 other locations,1k,--
2087,Morepen Laboratories,3.9,(512),Pharma | New Delhi +48 other locations,1.8k,33
2088,Macquarie Group,3.1,(512),Financial Services | Gurugram +17 other locations,4.6k,129
2089,OutworX,3.5,(512),IT Services & Consulting | Pune +40 other locations,2.2k,9
2090,Hindusthan National Glass,3.7,(512),Packaging | Bahadurgarh +23 other locations,2k,--
2091,Spectrum Talent Management,3.5,(512),Recruitment | Noida +85 other locations,2k,--
2092,Saksoft,3.5,(514),IT Services & Consulting | Bengaluru +18 other locations,3.4k,--
2093,Dr. Agarwal's Eye Hospital,3.8,(511),Healthcare | Chennai +81 other locations,1.7k,55
2094,Hitachi Systems,3.9,(511),IT Services & Consulting | Mumbai +40 other locations,2.6k,2
2095,Galaxy Surfactants,3.8,(511),Chemicals | Mumbai +25 other locations,1.9k,9
2096,Nivea,4.2,(510),Beauty & Personal Care | Mumbai +69 other locations,1.7k,7
2097,Centum Learning,3.8,(509),Education & Training | New Delhi +82 other locations,1.3k,3
2098,AT&T,3.9,(509),Telecom | Bengaluru +18 other locations,4.6k,5
2099,Hero Cycles,3.3,(509),Automobile | Ludhiana +49 other locations,1.8k,3
2100,Centum Learning,3.8,(509),Education & Training | New Delhi +82 other locations,1.3k,3
2101,Securitas,3.8,(509),Law Enforcement & Security | Gurugram +44 other locations,2k,6
2102,Ministry of Defence,4.3,(508),Government | New Delhi +74 other locations,1.8k,--
2103,Kokilaben Dhirubhai Ambani Hospital,3.7,(508),Healthcare | Mumbai +20 other locations,1.7k,38
2104,Poorvika Mobiles,4.0,(508),Retail | Chennai +62 other locations,1.7k,4
2105,Cairn Energy,3.6,(508),Oil & Gas | Barmer +31 other locations,2.9k,--
2106,Ramraj Cotton,4.1,(508),Fashion & Textile | Tiruppur +48 other locations,1.1k,9
2107,Webskitters,3.8,(507),IT Services & Consulting | Kolkata +4 other locations,824,1
2108,Muthoottu Mini Financiers,3.4,(507),NBFC | Bengaluru +100 other locations,1.3k,23
2109,CMR Green Technologies,3.5,(507),Metals & Mining | Faridabad +34 other locations,1.7k,30
2110,Amara Raja Infra,3.9,(506),Engineering & Construction | Hyderabad +53 other locations,1.5k,--
2111,HSBC Global Banking and Markets,3.9,(506),Banking | Bengaluru +15 other locations,3.4k,--
2112,FinThrive,3.5,(506),Analytics & KPO | Chennai +9 other locations,1.5k,5
2113,RapiPay,3.6,(505),FinTech | Noida +110 other locations,1.6k,7
2114,QHTalbros,3.7,(505),Auto Components | Gurugram +26 other locations,1.4k,1
2115,Pace Setters Business Solutions,3.5,(505),BPO | Mumbai +24 other locations,1.2k,2
2116,RSM India,3.3,(504),Mumbai +35 other locations,2.6k,20
2117,Insolutions Global,3.6,(504),FinTech | Mumbai +20 other locations,2.7k,17
2118,Atomberg Technologies,3.8,(504),Consumer Electronics & Appliances | Pune +64 other locations,2.4k,22
2119,Mobile Programming,2.9,(503),IT Services & Consulting | Bengaluru +23 other locations,3.6k,144
2120,Cuemath,3.5,(503),EdTech | Bengaluru +22 other locations,1.9k,30
2121,TÜV Rheinland,4.1,(503),"Testing, Inspection and Certification (TIC) | Bengaluru +69 other locations",1.8k,9
2122,Addverb Technologies,3.5,(503),Industrial Automation | Noida +23 other locations,2.3k,11
2123,Mobile Programming,2.9,(503),IT Services & Consulting | Bengaluru +23 other locations,3.6k,144
2124,Innovaccer,3.3,(502),Software Product | Noida +8 other locations,3.5k,55
2125,BKT Tyres,4.2,(502),Auto Components | Bhuj +32 other locations,1.9k,3
2126,Adda 247,3.6,(502),EdTech | Gurugram +24 other locations,1.8k,30
2127,Deloitte Digital,3.8,(502),IT Services & Consulting | Bengaluru +29 other locations,3.1k,--
2128,Safari Industries India,4.0,(502),Retail | Mumbai +75 other locations,1.8k,6
2129,Great Learning,3.5,(502),EdTech | Bengaluru +12 other locations,3.8k,25
2130,Vakrangee,3.7,(501),BPO | Mumbai +89 other locations,1.1k,--
2131,CARE,4.3,(501),Non-Profit | Patna +114 other locations,1.2k,--
2132,African Industries,3.9,(502),Iron & Steel | Lagos +24 other locations,1k,13
2133,Johnson Matthey,3.8,(500),Metals & Mining | Gurugram +23 other locations,1.9k,7
2134,Voltech,3.4,(500),Electrical Equipment | Chennai +44 other locations,1.6k,--
2135,Dalmia Bharat Group,3.9,(500),Building Material | New Delhi +102 other locations,2k,--
2136,Sarovar Hotels & Resorts,4.1,(500),Hospitality | New Delhi +71 other locations,1.3k,--
2137,Hamdard,4.0,(500),FMCG | New Delhi +75 other locations,1.4k,4
2138,Stylebaazar,4.0,(500),Retail | Kolkata +93 other locations,1.1k,22
