,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
61,Samsung,3.9,(8.3k),Consumer Electronics & Appliances | Noida +586 other locations,26.2k,17
62,Dr. Reddy's,4.0,(8.1k),Pharma | Hyderabad +214 other locations,26k,14
63,Optum Global Solutions,4.0,(7.8k),IT Services & Consulting | Hyderabad +68 other locations,49.5k,156
64,Delhivery,3.8,(7.7k),Logistics | Gurugram +760 other locations,21.2k,182
65,JPMorgan Chase & Co.,3.8,(7.7k),Financial Services | Bengaluru +55 other locations,87.9k,855
66,JSW Steel,3.9,(7.7k),Iron & Steel | Ballari +193 other locations,31.2k,122
67,ICICI Prudential Life Insurance,3.9,(7.7k),Insurance | Mumbai +506 other locations,23.4k,191
68,Hexaware Technologies,3.4,(7.5k),IT Services & Consulting | Chennai +69 other locations,54k,484
69,HGS,3.7,(7.5k),BPO | Bengaluru +121 other locations,20.8k,26
70,Jana Small Finance Bank,3.8,(7.5k),Banking | Bengaluru +418 other locations,14.5k,44
71,Ujjivan Small Finance Bank,4.0,(7.5k),Banking | Bengaluru +536 other locations,13.3k,622
72,Sun Pharmaceutical Industries,4.1,(7.5k),Pharma | Vadodara +264 other locations,23.5k,367
73,Amazon Development Centre India,3.8,(7.4k),Internet | Hyderabad +146 other locations,38.6k,4
74,Lupin,4.1,(7.3k),Pharma | Pune +203 other locations,22.6k,19
75,Ekart Logistics,3.9,(7.3k),Logistics | Bengaluru +742 other locations,16.3k,--
76,L&T Construction,4.0,(7.2k),Engineering & Construction | Chennai +433 other locations,19.4k,--
77,Zydus Lifesciences,3.9,(7.2k),Pharma | Ahmedabad +178 other locations,20k,35
78,Hindustan Unilever,4.2,(7.1k),FMCG | Mumbai +540 other locations,20.2k,50
79,KPMG India,3.4,(7.1k),Management Consulting | Bengaluru +112 other locations,65.8k,88
80,ITC,3.9,(7.1k),FMCG | Bengaluru +377 other locations,24.7k,82
81,Axis Max Life Insurance,4.0,(7k),Insurance | New Delhi +499 other locations,20k,150
82,Megha Engineering & Infrastructures,3.9,(6.8k),Engineering & Construction | Hyderabad +406 other locations,18.5k,33
83,Tata Projects,4.2,(6.7k),Engineering & Construction | Mumbai +287 other locations,22.6k,72
84,Coforge,3.3,(6.6k),IT Services & Consulting | Noida +103 other locations,49.8k,174
85,Bajaj Life Insurance,3.8,(6.5k),Insurance | Pune +616 other locations,17.5k,76
86,L&T Technology Services,3.1,(6.5k),IT Services & Consulting | Bengaluru +93 other locations,43.2k,--
87,FIS,3.8,(6.5k),FinTech | Pune +60 other locations,38.6k,141
88,Cholamandalam Investment & Finance,3.8,(6.5k),Financial Services | Chennai +850 other locations,13.1k,32
89,Oracle,3.5,(6.3k),Software Product | Bengaluru +56 other locations,63.3k,694
90,Omega Healthcare,3.8,(6.3k),BPO | Chennai +69 other locations,26.8k,169
91,IIFL Finance,4.0,(6.3k),NBFC | Mumbai +804 other locations,14k,51
92,Muthoot Finance,3.7,(6.3k),NBFC | Bengaluru +789 other locations,13.1k,133
93,JLL,4.1,(6.2k),Real Estate | Gurugram +84 other locations,24.5k,322
94,Indian Army,4.7,(6.2k),Defence & Aerospace | New Delhi +363 other locations,9.5k,--
95,eClerx,3.1,(6.2k),IT Services & Consulting | Pune +32 other locations,32.4k,440
96,HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations,39.6k,--
97,DMart,3.9,(6k),Retail | Mumbai +247 other locations,18.4k,200
98,Virtusa Consulting Services,3.7,(6k),IT Services & Consulting | Hyderabad +55 other locations,56.8k,1.2k
99,Piramal Finance,4.2,(6k),NBFC | Mumbai +424 other locations,12.4k,9
100,Indiamart Intermesh,3.5,(5.9k),Internet | Noida +173 other locations,20.9k,161
101,HSBC Group,3.9,(5.9k),Financial Services | Bengaluru +63 other locations,43.5k,127
102,PolicyBazaar,3.8,(5.9k),Internet | Gurugram +150 other locations,17.4k,651
103,SMFG India Credit,3.9,(5.8k),NBFC | Mumbai +596 other locations,10.7k,92
104,Access Healthcare,3.7,(5.8k),BPO | Chennai +63 other locations,28.8k,1.6k
105,BigBasket,3.9,(5.7k),Internet | Bengaluru +141 other locations,19.4k,79
106,Aurobindo Pharma,4.0,(5.7k),Pharma | Hyderabad +115 other locations,20.6k,29
107,Siemens,3.9,(5.7k),Industrial Automation | Bengaluru +154 other locations,33.9k,68
